type,text,pattern_len,time_ns,time_var,found_count
SA,datasets/examples/,4,250.547,131732,1
FM,datasets/examples/,4,765.641,54552.2,1
SA,datasets/examples/,8,199.062,642.559,1
FM,datasets/examples/,8,1393.88,317835,1
SA,datasets/examples/,13,198.594,183.429,1
FM,datasets/examples/,13,1916.03,9524.87,1
SA,datasets/examples/,17,197.078,275.666,1
FM,datasets/examples/,17,2309.16,6690.23,1
SA,datasets/examples/,22,277.422,8988.12,1
FM,datasets/examples/,22,2987.8,6539.32,1
SA,datasets/examples/,26,199.406,479.554,1
FM,datasets/examples/,26,3445.89,4089.22,1
SA,datasets/examples/,30,197.156,290.757,1
FM,datasets/examples/,30,3964.86,4243.59,1
SA,datasets/examples/,35,205.516,1353.03,1
FM,datasets/examples/,35,4712.12,8728.08,1
SA,datasets/examples/,39,200.312,298.777,1
FM,datasets/examples/,39,5232.55,5922.78,1
SA,datasets/examples/,44,201.516,203.156,1
FM,datasets/examples/,44,5985.83,8085.8,1
